Blog	here	want	feature	how	series	re	service	project	tech	best	much	life	things	had	has	right	old	people	support	full	time	team	love	working	data	so	years	didn	internet	million	one	open	future	say	take	ways	going	where	up	many	photos	being	around	world	her	ago	am	an	as	tv	th	case	small	past	social	company	its	always	found	really	number	self	also	play	sometimes	set	see	read	using	couple	d	be	by	into	us	try	video	let	great	makes	next	high	doing	could	system	should	means	email	ve	off	web	become	does	problem	worth	work	after	then	them	they	created	another	what	do	away	we	com	night	post	months	way	was	together	change	live	can	still	not	now	year	space	shows	than	online	america	only	between	comes	these	media	real	business	your	start	lot	since	month	very	site	help	actually	american	latest	pretty	during	won	both	else	look	while	used	game	some	run	doesn	youtube	go	facebook	started	links	including	times	need	based	probably	course	i	well	twitter	home	he	stories	friends	companies	even	new	ever	never	call	tell	give	president	before	better	went	side	content	isn	seen	seem	don	m	said	against	three	if	make	left	just	down	me	did	making	may	man	maybe	talk	nbsp	interesting	thing	think	first	long	little	were	show	enough	get	morning	reading	according	those	different	same	money	again	important	u	public	two	through	good	everyone	house	hard	idea	least	part	most	find	please	point	simple	create	big	bit	google	often	back	from	ll	day	february	taking	thought	like	about	but	under	every	would	phone	my	keep	end	over	writing	each	got	free	days	already	top	too	took	though	watch	however	news	been	several	donald	ice	everything	why	no	when	says	today	trump	name	she	place	white	any	ideas	sure	come	week	without	seems	blog	or	there	all	list	design	might	feel	story	nothing	his	him	art	question	called	users	once	apple	app	use	few	women	something	instead	our	out	their	which	who	last	will	other	smart	know	because	getting	own	made	book
mezzoblue	1	0	0	2	0	1	0	1	0	0	1	0	0	0	1	1	1	0	3	0	0	0	0	1	0	1	3	1	1	0	2	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	4	0	1	0	0	3	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	0	1	0	0	2	1	0	6	0	3	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	1	0	1	0	0	0	1	1	0	0	0	0	1	0	12	1	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	2	0	0	0	0	2	0	1	4	0	0	0	0	3	0	0	4	0	0	1	2	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	1	2	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	2	0	1	0	0	1	0	0	0	0	0	1	0	0
Eschaton	0	1	0	2	0	4	0	3	0	0	4	2	8	1	7	2	1	8	0	1	2	3	0	0	0	6	3	3	0	0	6	0	1	0	0	0	6	1	0	1	0	5	0	0	5	1	0	5	13	0	1	1	0	0	1	0	0	2	0	1	0	1	4	0	0	0	3	0	0	0	0	15	6	1	2	0	0	1	0	1	1	0	1	3	0	4	0	0	4	2	0	1	1	0	0	2	5	1	0	7	0	1	3	3	0	12	1	2	1	0	0	10	0	0	0	3	1	11	2	1	0	0	2	0	1	3	0	1	2	0	1	0	2	0	2	2	0	2	0	1	2	1	0	0	1	0	0	0	1	1	0	0	9	0	0	0	0	0	0	0	0	2	2	0	0	3	26	0	3	0	5	0	0	0	3	3	1	2	0	0	0	5	1	1	0	1	0	7	0	0	4	7	4	2	0	2	2	0	7	0	3	3	0	1	0	5	1	0	0	3	2	0	2	0	4	0	2	2	4	0	1	2	1	1	2	0	2	0	0	1	2	2	1	5	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	6	0	1	3	0	0	2	16	17	1	2	5	0	0	2	1	0	0	0	4	0	1	0	3	5	0	3	0	2	4	6	1	2	0	0	6	6	2	0	0	12	1	6	0	1	7	1	1	0	4	0	2	1	6	5	3	1	0	1	0	0	2	2	2	0	1	0	0	1	0	0	0	0	0	1	0	2	1	3	3	2	1	0	2	0	2	5	2	0	3	0
ShoeMoney	13	1	0	9	0	5	1	0	3	1	1	0	0	0	1	2	0	0	0	0	5	0	1	0	3	5	1	0	3	2	5	0	2	0	2	2	4	0	3	1	0	1	1	4	0	0	1	5	6	2	0	0	0	2	4	1	3	1	0	4	1	0	0	0	0	0	0	1	2	0	0	4	1	5	4	1	0	4	0	2	0	0	1	1	0	1	0	0	1	0	1	0	3	0	2	3	2	3	5	5	0	0	13	3	0	8	0	0	0	0	3	2	1	0	0	6	3	6	3	4	0	2	2	3	0	2	0	1	4	4	1	6	10	1	1	0	1	5	0	0	1	0	2	0	0	1	0	0	4	1	0	0	5	0	0	3	0	0	2	0	0	0	1	1	0	0	8	0	0	0	2	0	0	0	3	3	1	0	0	3	0	0	0	0	0	3	2	1	1	0	0	3	0	0	0	3	0	0	3	0	1	1	2	2	1	1	0	0	2	0	3	1	0	1	0	2	0	4	0	1	1	0	3	0	1	0	0	0	0	0	1	1	3	0	1	0	0	0	2	0	0	0	1	0	4	0	0	0	1	4	1	0	0	2	0	1	6	11	0	0	3	0	0	1	0	2	0	0	0	0	0	0	0	1	0	0	2	0	1	2	2	0	0	1	8	0	3	0	2	0	0	0	0	0	0	1	0	0	0	0	0	1	5	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	8	4	4	0	2	0	6	1	0	2	1	3	1	0	0
Slashdot	0	3	0	3	1	0	1	1	1	1	1	1	0	2	11	0	4	8	2	1	9	0	0	0	3	4	9	1	0	5	6	1	2	2	0	0	0	1	7	3	1	0	1	5	0	1	1	26	9	1	0	0	1	1	0	9	21	1	6	0	2	1	4	0	0	0	0	15	1	1	0	20	18	4	1	0	1	0	0	0	1	2	2	3	4	4	0	1	2	4	0	1	1	0	2	0	4	0	1	6	0	2	3	3	1	3	1	0	3	1	0	7	0	2	0	11	3	8	4	12	0	4	6	2	4	1	1	2	1	0	1	2	3	0	2	1	1	1	1	0	2	1	1	1	3	2	6	0	0	5	4	0	8	1	0	0	3	8	1	0	0	5	2	4	0	1	6	2	1	1	3	0	1	3	0	15	4	0	0	0	2	0	0	3	0	2	0	1	1	3	2	0	8	1	3	7	2	1	3	1	0	1	2	5	0	0	1	0	0	0	1	8	1	0	4	1	1	1	1	0	9	4	2	0	5	2	1	6	2	7	2	2	1	2	0	0	3	2	4	2	0	1	0	1	0	0	1	0	1	30	0	0	0	1	0	5	7	10	7	1	14	0	1	1	3	11	1	0	0	0	1	3	1	2	1	2	1	2	2	7	3	0	5	0	1	1	4	6	2	3	1	1	0	2	6	0	0	3	4	2	0	1	8	8	3	2	0	1	0	15	0	1	0	0	0	3	7	2	3	1	5	5	0	0	5	0	5	5	17	4	9	9	7	1	0	3	0	2	3	0
Matt Cutts: Gadgets, Google, and SEO	1	0	0	0	0	2	6	2	0	0	1	0	0	0	3	0	0	4	1	0	1	1	0	1	0	2	2	0	0	0	3	0	0	0	1	0	0	0	0	1	0	0	1	2	0	1	0	2	3	0	1	0	0	0	1	0	0	0	0	1	0	0	2	0	1	0	1	1	0	2	1	0	0	0	6	1	0	0	1	0	2	0	0	1	0	0	1	0	4	1	2	0	1	1	0	2	1	0	2	2	0	0	1	1	1	2	0	0	0	1	1	6	0	0	0	2	1	1	2	4	0	0	0	0	0	0	0	0	1	1	0	0	2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	23	0	0	0	4	0	1	0	0	0	0	0	0	2	1	0	0	1	1	0	1	0	2	0	0	0	0	0	1	1	2	1	3	0	1	0	1	0	0	0	1	0	1	0	0	0	0	2	0	0	0	3	0	1	0	0	0	0	4	0	0	0	0	0	1	1	0	1	2	0	0	1	0	0	0	0	1	0	0	0	7	0	0	4	0	3	1	1	0	2	9	3	0	1	1	0	7	0	1	2	0	1	0	0	0	0	0	1	2	0	0	0	1	2	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	1	4	0	0	0	1	1	0	0	0	0
Gothamist	4	0	0	4	2	2	0	0	0	5	2	2	3	5	8	2	12	12	1	0	5	0	2	0	0	5	3	0	2	4	8	1	0	2	1	0	0	1	10	2	5	3	1	1	4	1	0	8	15	0	2	0	0	0	0	1	3	2	0	1	0	0	6	1	0	0	2	0	1	0	0	3	5	3	4	0	1	1	3	1	1	0	1	1	3	1	0	0	1	2	0	0	0	0	0	1	9	1	2	3	1	0	2	5	0	9	0	7	1	0	0	21	0	1	1	6	3	1	5	17	1	0	7	0	2	2	1	0	1	1	0	0	5	2	0	2	6	2	0	0	1	2	1	0	2	3	0	0	0	1	4	0	7	0	0	3	0	3	0	3	1	1	2	0	0	1	5	1	3	2	11	3	1	0	0	22	4	1	1	0	0	3	1	0	1	13	0	0	2	0	1	0	1	3	2	2	3	1	7	8	1	0	1	0	4	0	1	13	0	0	0	3	1	1	7	2	1	7	3	0	3	1	0	0	2	4	0	2	1	4	1	2	0	2	1	0	2	2	5	0	0	2	1	0	0	0	0	0	2	11	0	3	0	0	0	4	5	6	2	1	1	0	2	1	2	8	0	0	1	0	5	1	3	2	1	0	1	0	0	1	3	2	0	0	0	1	7	1	3	11	0	2	1	3	1	1	0	1	3	0	0	0	3	3	4	0	1	0	0	2	0	11	2	2	0	2	0	1	4	1	2	1	0	0	0	4	5	5	4	12	11	2	2	0	0	5	0	2	2	0
BuzzMachine	3	5	0	2	0	0	0	0	0	0	0	0	0	3	1	3	0	3	0	0	0	0	0	1	0	5	1	2	0	2	1	0	1	1	0	2	1	0	1	2	0	0	2	0	2	0	4	0	4	0	0	0	2	0	1	0	2	1	0	1	0	0	0	0	0	0	1	0	0	0	0	5	5	1	1	0	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	6	0	0	10	6	0	9	0	0	15	0	0	1	1	0	0	3	0	7	4	0	0	0	0	1	0	2	1	0	1	4	3	1	0	2	0	1	0	0	0	2	0	2	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	8	0	0	1	0	0	1	0	0	19	1	1	0	3	1	0	1	0	3	0	0	2	0	0	1	0	3	0	2	2	3	0	0	0	1	1	3	0	0	2	0	2	1	1	0	0	1	0	0	0	0	0	1	0	16	2	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	1	0	1	5	1	0	1	0	0	0	6	1	2	0	1	0	3	1	1	3	0	0	1	0	0	0	0	2	0	1	0	0	19	1	0	3	0	0	0	2	2	0	0	9	0	3	0	0	0	0	2	0	0	1	0	0	1	2	4	0	0	0	0	0	0	0	1	0	0	1	1	0	1	0	1	1	0	0	1	9	0	0	0	0	0	5	0	0	1	1	0	0	0	0
Techdirt.	15	18	7	34	4	24	19	2	6	11	26	5	15	53	73	19	2	31	12	5	30	7	4	9	9	48	28	14	29	7	49	6	14	17	17	8	16	19	38	29	2	24	12	18	2	10	1	82	156	13	3	33	2	6	30	33	56	4	8	11	8	5	36	4	4	13	16	6	13	2	20	117	97	22	32	2	8	14	12	7	7	4	11	38	7	25	9	33	21	11	1	8	12	16	4	29	13	26	37	76	2	21	49	40	4	90	3	0	21	6	17	133	2	6	7	68	23	95	21	14	4	2	32	14	4	31	8	15	43	24	9	4	23	12	6	9	6	14	9	5	13	3	4	5	2	7	17	6	7	26	9	6	45	4	10	4	12	29	5	3	13	6	13	9	4	9	111	28	17	4	56	6	4	27	41	36	6	12	5	3	15	3	19	7	3	6	56	18	5	5	17	8	16	11	0	60	21	2	39	21	20	20	10	20	6	4	3	4	2	13	14	32	11	11	35	2	1	20	2	3	4	32	8	9	5	12	12	3	30	25	9	19	3	3	6	5	8	14	22	11	1	16	3	6	10	4	18	15	21	84	5	10	3	7	8	35	73	86	12	13	62	8	40	3	11	34	4	8	17	11	5	15	4	15	5	13	1	13	16	44	11	0	15	7	5	35	45	8	2	7	4	2	8	1	30	11	4	5	14	25	4	3	93	39	63	3	0	14	0	26	8	49	18	2	0	8	18	8	6	10	25	15	1	20	8	40	51	80	52	42	18	45	48	7	18	21	8	22	7	2
Joi Ito's Web	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	1	0	0	0	0	2	4	0	1	0	1	0	1	0	0	0	0	0	0	2	0	1	1	0	3	1	0	1	3	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	3	2	1	1	2	0	1	0	2	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	1	1	1	0	1	0	0	2	4	0	5	0	0	1	0	0	6	0	0	3	0	0	0	0	3	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	2	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	1	20	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	3	0	0	0	2	3	0	0	0	0	0	3	0	0	0	0	3	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	1	0	4	0	3	0	0	0	0	7	0	0	1	1	0	8	0	0	3	0	1	1	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	3	2	0	0	0	3	0	1	0	2	0	0	0	0	8
ongoing by Tim Bray	5	2	0	1	0	15	0	0	0	1	4	1	2	4	5	2	1	0	0	3	4	0	5	0	0	7	0	0	0	0	6	1	0	2	2	1	0	0	4	1	0	0	4	1	4	0	1	7	5	0	0	0	1	2	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	1	17	12	0	1	2	2	3	2	1	1	2	0	2	0	0	0	0	2	1	0	0	0	0	0	1	1	1	1	4	0	0	2	3	2	9	3	0	0	1	1	10	0	0	3	3	1	6	5	4	0	0	4	0	0	0	0	1	2	0	0	0	2	3	2	0	1	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	12	1	0	0	2	0	0	0	0	2	1	0	0	0	29	0	0	1	2	0	0	0	3	2	0	0	3	0	1	0	0	0	0	0	0	1	0	0	1	4	1	0	0	4	0	0	2	1	6	0	0	3	0	1	3	0	0	1	2	4	1	0	2	1	2	2	0	0	0	1	0	0	0	1	0	1	0	1	0	7	0	0	4	0	0	1	5	0	0	1	0	0	4	2	0	0	5	9	8	13	0	0	3	4	6	14	0	0	4	3	1	1	1	1	0	1	1	0	3	0	2	2	0	1	0	0	0	2	0	0	0	0	0	7	0	0	1	0	4	3	1	5	4	0	2	1	0	0	2	1	4	5	4	2	0	0	0	0	0	5	2	1	0	3	0	1	0	0	1	2	0	0	0	1	4	0	6	5	1	1	0	0	2	0	0	0	1	0
The Viral Garden	25	34	0	60	9	4	5	4	0	7	6	2	6	40	13	7	2	68	2	3	26	5	2	1	0	62	6	14	0	0	40	2	1	6	7	6	10	18	23	25	0	21	7	4	5	5	25	43	88	1	9	8	5	2	135	13	11	6	10	10	5	4	10	2	7	0	22	10	30	6	5	78	24	9	16	4	0	8	13	4	9	1	13	8	0	16	5	3	20	5	1	10	5	6	1	17	8	23	50	90	7	9	44	40	3	48	22	3	43	7	27	94	5	3	3	42	14	23	19	19	6	2	10	8	2	16	2	2	25	123	3	12	70	4	14	3	1	23	12	10	11	0	2	3	5	11	6	8	2	8	1	1	17	0	2	0	14	14	14	9	1	1	8	0	12	3	340	12	61	0	17	3	12	30	19	21	3	10	1	11	6	0	11	10	7	1	15	6	3	2	15	18	13	0	3	61	20	10	21	2	57	13	4	12	1	4	1	14	5	17	32	23	8	3	36	5	5	21	0	8	2	12	3	16	3	3	4	0	0	8	4	17	10	0	0	18	5	7	23	9	3	6	2	10	12	8	0	9	20	44	17	17	0	4	11	27	48	80	1	10	31	0	68	3	5	15	5	5	10	6	10	2	4	6	10	5	0	1	1	11	9	0	0	0	21	19	38	0	4	0	10	2	3	0	8	6	11	8	5	2	3	48	38	37	34	12	0	5	2	2	2	8	3	0	0	5	10	3	1	0	20	26	0	9	5	7	27	72	19	16	12	47	19	2	22	38	6	24	8	0
SpikedHumor - Today's Videos and Pictures	102	1	1	5	0	2	0	2	0	6	0	2	1	5	8	0	2	3	1	2	4	1	1	0	0	2	2	0	0	1	6	0	2	1	1	0	0	0	13	2	2	1	4	1	0	2	2	11	1	2	1	0	0	0	0	0	7	0	2	1	0	0	3	3	0	4	4	0	4	1	1	1	108	2	2	0	15	2	1	1	0	0	0	1	1	1	1	0	2	3	0	0	2	3	0	2	3	2	3	0	0	3	5	2	1	9	6	1	3	0	2	4	1	1	2	5	2	8	0	0	3	0	1	0	4	0	2	0	1	0	4	0	6	0	0	1	0	0	1	0	1	3	0	0	0	0	0	1	5	3	0	1	9	0	1	5	2	0	1	0	0	1	1	0	2	0	19	0	0	0	7	1	0	0	5	7	3	1	1	1	0	0	2	0	2	2	0	0	0	0	3	1	3	0	0	1	2	2	12	3	5	2	3	1	4	2	2	0	2	0	2	2	2	1	0	5	0	4	1	0	1	2	0	0	1	1	0	3	1	0	0	2	2	2	0	0	0	7	2	0	2	0	0	0	1	1	1	0	2	20	0	1	1	0	0	5	9	8	1	3	2	2	8	2	3	0	0	0	1	1	5	0	2	2	0	0	102	0	2	3	1	0	3	1	4	1	4	1	0	0	0	3	0	1	2	2	0	0	0	0	0	0	3	1	14	1	0	2	3	0	0	9	1	0	0	1	0	2	5	3	0	1	1	2	0	1	1	3	0	3	4	5	2	0	4	3	0	0	0	0
The Official Google Blog	8	10	10	15	3	55	2	2	3	10	1	5	5	2	23	8	4	27	3	2	15	9	5	9	31	23	11	2	18	1	19	10	3	8	10	8	1	7	24	2	13	0	8	12	10	2	0	28	32	5	3	0	4	6	1	4	7	5	3	1	2	0	26	12	3	3	13	1	10	0	4	27	35	20	10	2	7	3	6	4	3	2	0	3	0	2	6	3	18	4	4	3	1	0	0	10	3	6	15	33	2	4	16	9	2	80	3	0	1	2	13	15	13	0	7	70	2	6	16	17	2	3	17	19	3	12	3	4	19	3	2	9	89	7	0	8	3	0	2	34	0	2	3	0	2	4	3	4	5	9	7	4	13	2	3	14	9	0	3	0	6	0	12	3	0	2	22	2	0	5	2	9	4	2	16	38	5	5	10	3	6	0	4	7	2	0	3	0	3	0	2	1	0	2	7	21	25	5	27	8	2	1	8	2	0	0	5	0	0	2	3	14	3	3	8	2	0	26	0	1	1	8	4	6	2	0	11	7	1	7	10	4	4	0	3	0	2	8	14	7	2	2	2	17	3	2	91	4	6	45	17	16	3	2	1	18	27	14	1	6	2	9	11	19	1	7	0	4	3	5	4	3	11	6	2	3	3	2	25	11	1	0	5	3	5	6	19	4	16	0	0	6	6	1	9	3	5	4	7	4	0	1	45	13	19	1	7	3	7	2	0	7	0	3	2	3	7	4	0	16	18	10	2	3	2	36	24	46	11	14	7	26	12	2	6	4	3	7	2	6
Neil Gaiman's Journal	37	16	0	20	7	12	0	1	0	7	23	8	49	42	20	10	11	44	4	1	34	2	21	4	0	61	22	11	5	3	42	1	0	2	11	2	27	23	36	15	2	8	7	16	12	28	20	39	52	8	18	4	6	2	3	1	5	5	6	23	3	2	11	1	7	10	19	27	3	9	23	104	71	14	22	2	7	8	2	5	11	4	27	21	0	12	7	3	31	10	0	2	6	0	1	22	12	30	43	48	1	10	36	40	11	53	28	11	6	7	8	110	5	5	4	44	11	61	28	43	0	2	12	3	3	22	7	5	14	4	2	0	25	1	13	5	5	17	0	10	7	28	1	3	4	5	5	5	8	10	3	0	35	2	3	2	23	3	10	4	4	8	13	3	7	0	434	9	3	4	50	12	9	0	30	40	9	12	1	9	7	0	18	6	21	4	1	8	3	2	12	61	15	1	8	62	24	6	22	4	64	20	7	9	11	3	5	307	2	20	7	21	11	9	22	6	2	33	4	15	1	5	8	9	18	5	1	0	7	23	9	24	9	2	8	6	2	6	9	14	3	1	1	1	6	17	2	2	23	62	20	13	12	4	8	42	46	47	1	3	38	1	81	6	2	21	24	8	23	4	23	2	0	19	9	3	5	3	2	27	5	0	0	6	4	11	24	1	3	0	4	11	6	2	12	4	11	5	7	5	1	13	62	58	49	1	4	4	7	8	5	31	18	12	1	6	0	4	1	1	0	13	2	22	8	8	54	19	31	48	21	58	17	2	11	34	8	8	14	64
Signal v. Noise - Medium	10	10	0	33	1	32	0	1	3	8	14	10	14	12	10	5	1	54	8	5	26	16	6	1	1	21	2	6	0	1	67	4	2	8	8	4	7	19	28	7	0	7	4	12	2	2	0	41	59	0	1	2	0	2	6	6	2	4	3	8	2	3	12	2	2	1	11	3	2	3	15	48	34	9	9	6	0	4	6	6	9	1	8	3	3	15	5	0	12	5	2	5	6	4	1	20	4	8	13	45	2	7	46	24	0	43	7	0	0	1	17	28	4	2	2	45	9	36	8	8	3	1	7	3	0	8	3	4	14	1	3	19	54	7	4	0	2	4	7	11	4	0	0	2	12	3	3	6	5	2	2	2	23	3	6	9	8	3	3	0	1	7	17	3	5	2	58	12	2	1	7	3	2	10	14	9	1	4	2	1	6	0	7	13	1	1	1	3	1	3	19	8	3	2	2	39	27	2	24	2	16	4	2	7	0	3	5	0	3	11	11	6	5	5	11	2	7	23	0	2	0	10	2	9	4	5	2	0	1	3	10	7	13	0	2	3	1	1	9	10	6	4	4	4	2	1	4	7	3	19	12	5	0	2	1	32	50	38	0	7	11	0	25	5	1	19	1	7	2	1	3	2	5	13	4	3	1	2	0	7	1	0	2	1	9	20	41	0	3	0	3	4	5	0	2	7	7	2	2	2	1	0	51	25	25	0	5	9	8	12	4	1	0	5	22	3	0	8	1	0	3	11	3	16	4	20	20	31	7	11	11	12	19	0	16	8	2	4	3	0
456 Berea Street	2	1	0	4	0	0	0	0	0	1	0	0	1	1	3	0	0	3	1	12	0	0	0	1	5	6	1	1	0	0	3	0	0	0	1	2	1	1	2	4	0	2	0	0	0	2	0	4	5	0	0	1	2	0	0	0	7	1	1	3	1	0	1	0	2	3	4	10	3	1	3	6	3	1	0	0	0	0	1	0	0	0	1	1	0	0	1	0	3	0	4	0	0	3	1	1	3	1	2	1	0	0	2	5	0	2	0	0	4	0	1	6	0	1	0	6	0	4	1	0	0	0	6	0	0	1	0	1	1	0	0	0	1	0	1	2	0	1	2	2	1	0	0	0	0	1	1	0	6	2	2	0	5	0	1	0	1	0	0	1	0	0	3	0	0	1	30	4	0	0	0	0	0	0	3	0	2	1	0	0	1	0	2	0	0	0	1	3	1	0	4	0	0	0	1	4	5	0	1	4	2	0	2	5	0	0	0	0	0	0	3	0	1	1	3	0	1	2	0	0	1	1	5	1	0	1	1	0	0	1	1	1	0	0	0	0	3	1	3	1	0	0	0	0	0	2	0	2	0	4	0	0	0	0	2	3	2	9	0	2	0	0	3	1	0	4	1	2	0	0	0	1	2	2	0	0	0	1	1	3	1	0	0	0	2	2	7	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	9	6	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	1	0	1	3	4	1	0	5	0	0	0	1	1	1	0	0
Joel on Software	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	1	0	0	2	0	0	1	2	0	3	1	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	2	2	0	4	0	0	0	0	0	4	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	3	0	0	2	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	6	1	1	0	0	0	0	0	1	7	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	3	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	3	0	0	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	1	0	0
Wired	4	0	1	5	1	3	0	0	2	1	0	2	0	1	5	4	0	1	0	0	4	0	1	0	0	0	5	0	2	0	3	2	1	1	0	0	1	1	2	1	1	0	0	1	0	0	0	6	1	1	0	2	0	0	0	1	4	0	1	0	0	0	0	0	0	0	1	1	0	0	0	5	4	1	3	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	3	1	0	0	0	0	1	1	1	4	2	0	3	0	1	1	0	0	0	0	4	4	0	0	1	4	1	3	3	1	3	0	0	1	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	9	0	2	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	2	1	0	0	0	1	1	0	0	0	0	1	0	2	1	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	3	1	2	2	1	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	3	0	0	0	0	0	2	2	1	0	1	1	3	1	0	1	3	0	0	1	0	0	1	1	1	0	0	1	0	4	3	0	0	2	0	2	1	3	0	0	0	1	0	0	1	0	0	0	0	4	0	1	0	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	3	1	0	2	0	2	1	1	0	0	0	1	1	0
Boing Boing	9	3	1	10	1	3	2	1	1	1	6	10	1	11	13	2	5	1	0	1	11	2	5	2	0	14	8	1	0	2	10	2	3	1	5	2	1	7	12	6	2	2	2	7	15	2	4	25	26	0	3	2	2	0	1	2	7	3	10	0	3	0	11	3	2	4	4	4	2	5	1	22	21	9	6	3	5	3	4	5	2	2	2	13	2	1	0	1	3	2	2	2	2	2	1	5	10	7	14	34	2	0	9	5	2	12	3	2	2	3	7	36	3	1	2	16	2	16	1	5	0	0	12	4	0	7	0	1	11	0	0	0	10	2	0	2	0	5	2	4	3	0	2	2	4	4	1	0	6	5	4	10	10	1	3	2	0	0	0	0	3	5	1	0	1	1	34	3	3	3	18	2	1	5	7	16	2	3	1	2	2	4	3	4	1	1	0	1	1	2	4	5	7	2	5	9	6	3	8	6	2	2	0	2	8	0	1	0	0	2	5	8	4	5	16	3	1	5	1	2	6	8	6	4	3	2	1	0	4	16	8	2	1	3	1	1	0	8	4	1	0	0	2	2	4	2	1	1	4	19	2	1	2	1	1	11	19	20	3	1	9	0	12	1	5	5	0	3	3	0	4	0	1	3	0	1	4	1	1	7	2	2	0	4	1	9	15	5	3	5	1	16	1	2	4	0	3	6	2	4	3	0	24	13	13	0	0	5	0	7	1	18	4	9	2	6	0	0	2	5	1	5	6	3	1	2	13	32	9	26	5	6	6	0	8	4	0	5	3	4
